head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'官桥中心幼儿园',address:'官桥镇集镇社区', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'国际蒙特梭利幼儿园城东园',address:'淮川街道城东新村淮东东路1号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'泮春中心幼儿园',address:'龙伏集镇正东方向59米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'小小兵双语艺术幼儿园',address:'永安镇通程商业广场正北方向141米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'乌龙中心幼儿园',address:'北盛镇乌龙村西南方向165米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'满天星双鱼幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'昕雨阳光澄潭江幼儿园',address:'金辉路19号正东方向83米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'群星幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'国际蓝天幼儿园',address:'康宁路15东南方向84米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'浏阳市培新幼儿园',address:'金沙南路3', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'新蕾幼稚园',address:'达金路23号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'田心中心幼儿园',address:'小河乡田心村', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'小天使幼儿园',address:'方兴路181高坪卫生院东北', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'金色起点潜能开发幼儿园',address:'庆泰路与迎宾大道交叉口西北200米正东方向110米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'博雅艺术幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'金园幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'北盛诚信幼儿园',address:'人民路60正南方向115米', task_id:'school'"
